Date,Value
2024-01-01,94.57
2024-01-02,105.3
2024-01-03,102.03
2024-01-04,93.4
2024-01-05,98.34
2024-01-06,109.8
2024-01-07,89.72
2024-01-08,100.02
2024-01-09,108.8
2024-01-10,98.44
2024-01-11,99.69
2024-01-12,102.92
2024-01-13,111.15
2024-01-14,100.81
2024-01-15,102.09
2024-01-16,102.44
2024-01-17,115.94
2024-01-18,116.15
2024-01-19,110.54
2024-01-20,107.75
2024-01-21,109.81
2024-01-22,113.87
2024-01-23,102.04
2024-01-24,112.89
2024-01-25,101.04
2024-01-26,104.41
2024-01-27,112.43
2024-01-28,101.04
2024-01-29,107.78
2024-01-30,104.46
2024-01-31,107.77
2024-02-01,95.35
2024-02-02,100.77
2024-02-03,106.41
2024-02-04,114.83
2024-02-05,109.6
2024-02-06,110.76
2024-02-07,114.46
2024-02-08,106.9
2024-02-09,112.99
2024-02-10,107.81
2024-02-11,103.47
2024-02-12,110.42
2024-02-13,115.51
2024-02-14,114.6
2024-02-15,113.11
2024-02-16,125.39
2024-02-17,115.75
2024-02-18,118.83
2024-02-19,125.38
2024-02-20,107.97
2024-02-21,109.5
2024-02-22,123.65
2024-02-23,111.19
2024-02-24,115.57
2024-02-25,121.01
2024-02-26,120.35
2024-02-27,124.91
2024-02-28,123.84
2024-02-29,121.94
2024-03-01,112.95
2024-03-02,121.02
2024-03-03,118.84
2024-03-04,110.85
2024-03-05,124.79
2024-03-06,121.95
2024-03-07,118.35
2024-03-08,117.17
2024-03-09,112.55
2024-03-10,119.74
2024-03-11,121.28
2024-03-12,114.98
2024-03-13,125.14
2024-03-14,114.04
2024-03-15,109.1
2024-03-16,125.1
2024-03-17,118.07
2024-03-18,119.63
2024-03-19,116.25
2024-03-20,112.59
2024-03-21,127.06
2024-03-22,117.51
2024-03-23,129.43
2024-03-24,125.32
2024-03-25,119.87
2024-03-26,116.17
2024-03-27,118.09
2024-03-28,115.84
2024-03-29,132.49
2024-03-30,123.02
2024-03-31,128.09
2024-04-01,116.15
2024-04-02,123.52
2024-04-03,128.64
2024-04-04,121.21
2024-04-05,128.17
2024-04-06,117.71
2024-04-07,116.44
2024-04-08,125.27
2024-04-09,121.6
2024-04-10,126.81
2024-04-11,113.82
2024-04-12,127.38
2024-04-13,136.92
2024-04-14,123.9
2024-04-15,124.3
2024-04-16,125.12
2024-04-17,115.0
2024-04-18,126.53
2024-04-19,116.46
2024-04-20,122.43
2024-04-21,130.87
2024-04-22,121.06
2024-04-23,127.31
2024-04-24,129.94
2024-04-25,126.34
2024-04-26,118.16
2024-04-27,123.42
2024-04-28,134.94
2024-04-29,115.08
2024-04-30,123.88
2024-05-01,122.55
2024-05-02,125.97
2024-05-03,129.16
2024-05-04,133.51
2024-05-05,124.15
2024-05-06,129.61
2024-05-07,128.09
2024-05-08,127.99
2024-05-09,122.84
2024-05-10,120.7
2024-05-11,120.22
2024-05-12,121.96
2024-05-13,127.38
2024-05-14,129.6
2024-05-15,127.43
2024-05-16,123.09
2024-05-17,134.88
2024-05-18,133.46
2024-05-19,124.1
2024-05-20,121.77
2024-05-21,126.54
2024-05-22,132.24
2024-05-23,127.57
2024-05-24,128.69
2024-05-25,124.85
2024-05-26,128.19
2024-05-27,133.63
2024-05-28,124.7
2024-05-29,126.61
2024-05-30,127.15
2024-05-31,127.29
2024-06-01,118.8
2024-06-02,116.47
2024-06-03,120.74
2024-06-04,126.66
2024-06-05,128.57
2024-06-06,123.13
2024-06-07,132.65
2024-06-08,125.03
2024-06-09,125.83
2024-06-10,124.73
2024-06-11,126.35
2024-06-12,129.18
2024-06-13,128.96
2024-06-14,121.11
2024-06-15,133.19
2024-06-16,120.07
2024-06-17,125.91
2024-06-18,124.11
2024-06-19,120.21
2024-06-20,125.05
2024-06-21,121.69
2024-06-22,125.72
2024-06-23,127.34
2024-06-24,132.65
2024-06-25,126.8
2024-06-26,122.17
2024-06-27,123.23
2024-06-28,125.86
2024-06-29,125.59
2024-06-30,132.38
2024-07-01,132.03
2024-07-02,123.22
2024-07-03,122.24
2024-07-04,112.16
2024-07-05,122.17
2024-07-06,119.99
2024-07-07,123.07
2024-07-08,126.77
2024-07-09,125.66
2024-07-10,124.59
2024-07-11,125.71
2024-07-12,124.05
2024-07-13,125.63
2024-07-14,108.46
2024-07-15,123.24
2024-07-16,124.0
2024-07-17,122.82
2024-07-18,123.41
2024-07-19,127.98
2024-07-20,121.45
2024-07-21,135.42
2024-07-22,127.83
2024-07-23,124.33
2024-07-24,123.31
2024-07-25,123.89
2024-07-26,119.72
2024-07-27,123.81
2024-07-28,125.66
2024-07-29,127.15
2024-07-30,127.13
2024-07-31,122.84
2024-08-01,117.13
2024-08-02,120.85
2024-08-03,132.25
2024-08-04,128.66
2024-08-05,126.02
2024-08-06,120.36
2024-08-07,124.18
2024-08-08,117.88
2024-08-09,121.4
2024-08-10,122.94
2024-08-11,122.36
2024-08-12,128.96
2024-08-13,117.09
2024-08-14,119.87
2024-08-15,117.33
2024-08-16,118.03
2024-08-17,124.86
2024-08-18,116.25
2024-08-19,128.04
2024-08-20,123.06
2024-08-21,124.67
2024-08-22,125.96
2024-08-23,122.21
2024-08-24,129.57
2024-08-25,123.47
2024-08-26,127.45
2024-08-27,123.53
2024-08-28,126.02
2024-08-29,126.0
2024-08-30,125.9
2024-08-31,119.83
2024-09-01,126.93
2024-09-02,123.21
2024-09-03,128.02
2024-09-04,114.16
2024-09-05,117.66
2024-09-06,126.87
2024-09-07,134.43
2024-09-08,129.36
2024-09-09,121.85
2024-09-10,116.88
2024-09-11,129.13
2024-09-12,125.09
2024-09-13,128.53
2024-09-14,126.24
2024-09-15,125.9
2024-09-16,140.64
2024-09-17,125.91
2024-09-18,125.25
2024-09-19,125.54
2024-09-20,123.33
2024-09-21,131.31
2024-09-22,124.7
2024-09-23,129.76
2024-09-24,128.12
2024-09-25,132.91
2024-09-26,129.03
2024-09-27,120.99
2024-09-28,120.55
2024-09-29,134.36
2024-09-30,124.41
2024-10-01,120.98
2024-10-02,124.38
2024-10-03,134.19
2024-10-04,120.91
2024-10-05,123.83
2024-10-06,124.98
2024-10-07,122.21
2024-10-08,122.7
2024-10-09,121.19
2024-10-10,126.64
2024-10-11,127.34
2024-10-12,125.87
2024-10-13,121.18
2024-10-14,135.89
